GEO_ID,DSN,ID1,ID2,INSTRUMENT,CELLLIMITS,AREA_INSTRUMENT,TIME_RESOLUTION,ORIGIN,ADD_INFO,0
uk,141,sph,sph_yr07_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,44031
uk,142,sph,sph_yr08_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,32205
uk,143,sph,sph_yr09_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,33747
uk,144,sph,sph_yr10_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,31339
uk,145,sph,sph_yr11_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,33310
uk,146,sph,sph_yr12_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,50711
uk,147,sph,sph_yr13_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,27274
uk,148,sph,sph_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,Composite,329700
us-w2,19,ata,ata_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,17081
us-c1,62,bao,bao_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,2334
us-w2,20,bby,bby_r1min,RD80,standard,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,10819
bkt,161,bkt,bkt_r1min,RD80,standard,5000,60,BUKIT KOTO TABANG DATASET,,68384
us-w2,21,cfc,cfc_yr05_r1min,RD80,standard,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,6980
us-w2,22,cfc,cfc_yr06_r1min,RD80,standard,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,51220
us-w2,23,cfc,cfc_r1min,RD80,standard,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,Composite,58200
